1.082012885758798504e-01,1.082012885758798504e-01,1.082012885758798504e-01,1.082012885758798504e-01,1.082012885758798504e-01,1.082012885758798504e-01,1.082012885758798504e-01,1.082012885758798504e-01
1.080876544660327454e-01,1.080876544660327454e-01,1.080876544660327454e-01,1.080876544660327454e-01,1.080876544660327454e-01,1.080876544660327454e-01,1.080876544660327454e-01,1.080876544660327454e-01
1.080364634042894068e-01,1.080364634042894068e-01,1.080364634042894068e-01,1.080364634042894068e-01,1.080364634042894068e-01,1.080364634042894068e-01,1.080364634042894068e-01,1.080364634042894068e-01
1.080179312277778081e-01,1.080179312277778081e-01,1.080179312277778081e-01,1.080179312277778081e-01,1.080179312277778081e-01,1.080179312277778081e-01,1.080179312277778081e-01,1.080179312277778081e-01
1.080117999430285636e-01,1.080117999430285636e-01,1.080117999430285636e-01,1.080117999430285636e-01,1.080117999430285636e-01,1.080117999430285636e-01,1.080117999430285636e-01,1.080117999430285636e-01
1.080105383284148957e-01,1.080105383284148957e-01,1.080105383284148957e-01,1.080105383284148957e-01,1.080105383284148957e-01,1.080105383284148957e-01,1.080105383284148957e-01,1.080105383284148957e-01
1.080118517724031335e-01,1.080118517724031335e-01,1.080118517724031335e-01,1.080118517724031335e-01,1.080118517724031335e-01,1.080118517724031335e-01,1.080118517724031335e-01,1.080118517724031335e-01
1.080165789143165966e-01,1.080165789143165966e-01,1.080165789143165966e-01,1.080165789143165966e-01,1.080165789143165966e-01,1.080165789143165966e-01,1.080165789143165966e-01,1.080165789143165966e-01
1.118082150751433801e-01,1.118082150751433801e-01,1.118082150751433801e-01,1.118082150751433801e-01,1.118082150751433801e-01,1.118082150751433801e-01,1.118082150751433801e-01,1.118082150751433801e-01
1.154727609450674208e-01,1.154727609450674208e-01,1.154727609450674208e-01,1.154727609450674208e-01,1.154727609450674208e-01,1.154727609450674208e-01,1.154727609450674208e-01,1.154727609450674208e-01
1.154933375073596835e-01,1.154933375073596835e-01,1.154933375073596835e-01,1.154933375073596835e-01,1.154933375073596835e-01,1.154933375073596835e-01,1.154933375073596835e-01,1.154933375073596835e-01
1.155031868904643488e-01,1.155031868904643488e-01,1.155031868904643488e-01,1.155031868904643488e-01,1.155031868904643488e-01,1.155031868904643488e-01,1.155031868904643488e-01,1.155031868904643488e-01
1.155261457565757155e-01,1.155261457565757155e-01,1.155261457565757155e-01,1.155261457565757155e-01,1.155261457565757155e-01,1.155261457565757155e-01,1.155261457565757155e-01,1.155261457565757155e-01
1.183983735227229772e-01,1.183983735227229772e-01,1.183983735227229772e-01,1.183983735227229772e-01,1.183983735227229772e-01,1.183983735227229772e-01,1.183983735227229772e-01,1.183983735227229772e-01
1.185330354887810245e-01,1.185330354887810245e-01,1.185330354887810245e-01,1.185330354887810245e-01,1.185330354887810245e-01,1.185330354887810245e-01,1.185330354887810245e-01,1.185330354887810245e-01
1.230524846000662365e-01,1.230524846000662365e-01,1.230524846000662365e-01,1.230524846000662365e-01,1.230524846000662365e-01,1.230524846000662365e-01,1.230524846000662365e-01,1.230524846000662365e-01
1.464184162277888390e-01,1.464184162277888390e-01,1.464184162277888390e-01,1.464184162277888390e-01,1.464184162277888390e-01,1.464184162277888390e-01,1.464184162277888390e-01,1.464184162277888390e-01
7.693490898527670652e-01,7.693490898527670652e-01,7.693490898527670652e-01,7.693490898527670652e-01,7.693490898527670652e-01,7.693490898527670652e-01,7.693490898527670652e-01,7.693490898527670652e-01
