1.100000000000000089e+00,1.100000000000000089e+00,1.100000000000000089e+00,1.100000000000000089e+00,1.100000000000000089e+00,1.100000000000000089e+00,1.100000000000000089e+00
1.260000000000000231e+00,1.260000000000000231e+00,1.260000000000000231e+00,1.260000000000000231e+00,1.260000000000000231e+00,1.260000000000000231e+00,1.260000000000000231e+00
1.740000000000000213e+00,1.740000000000000213e+00,1.740000000000000213e+00,1.740000000000000213e+00,1.740000000000000213e+00,1.740000000000000213e+00,1.740000000000000213e+00
2.540000000000000480e+00,2.540000000000000480e+00,2.540000000000000480e+00,2.540000000000000480e+00,2.540000000000000480e+00,2.540000000000000480e+00,2.540000000000000480e+00
3.660000000000000586e+00,3.660000000000000586e+00,3.660000000000000586e+00,3.660000000000000586e+00,3.660000000000000586e+00,3.660000000000000586e+00,3.660000000000000586e+00
5.099999999999999645e+00,5.099999999999999645e+00,5.099999999999999645e+00,5.099999999999999645e+00,5.099999999999999645e+00,5.099999999999999645e+00,5.099999999999999645e+00
6.860000000000001208e+00,6.860000000000001208e+00,6.860000000000001208e+00,6.860000000000001208e+00,6.860000000000001208e+00,6.860000000000001208e+00,6.860000000000001208e+00
8.940000000000001279e+00,8.940000000000001279e+00,8.940000000000001279e+00,8.940000000000001279e+00,8.940000000000001279e+00,8.940000000000001279e+00,8.940000000000001279e+00
1.134000000000000163e+01,1.134000000000000163e+01,1.134000000000000163e+01,1.134000000000000163e+01,1.134000000000000163e+01,1.134000000000000163e+01,1.134000000000000163e+01
1.406000000000000050e+01,1.406000000000000050e+01,1.406000000000000050e+01,1.406000000000000050e+01,1.406000000000000050e+01,1.406000000000000050e+01,1.406000000000000050e+01
1.710000000000000142e+01,1.710000000000000142e+01,1.710000000000000142e+01,1.710000000000000142e+01,1.710000000000000142e+01,1.710000000000000142e+01,1.710000000000000142e+01
2.046000000000000441e+01,2.046000000000000441e+01,2.046000000000000441e+01,2.046000000000000441e+01,2.046000000000000441e+01,2.046000000000000441e+01,2.046000000000000441e+01
2.414000000000000767e+01,2.414000000000000767e+01,2.414000000000000767e+01,2.414000000000000767e+01,2.414000000000000767e+01,2.414000000000000767e+01,2.414000000000000767e+01
2.814000000000000412e+01,2.814000000000000412e+01,2.814000000000000412e+01,2.814000000000000412e+01,2.814000000000000412e+01,2.814000000000000412e+01,2.814000000000000412e+01
3.246000000000000796e+01,3.246000000000000796e+01,3.246000000000000796e+01,3.246000000000000796e+01,3.246000000000000796e+01,3.246000000000000796e+01,3.246000000000000796e+01
3.710000000000000142e+01,3.710000000000000142e+01,3.710000000000000142e+01,3.710000000000000142e+01,3.710000000000000142e+01,3.710000000000000142e+01,3.710000000000000142e+01
4.206000000000000938e+01,4.206000000000000938e+01,4.206000000000000938e+01,4.206000000000000938e+01,4.206000000000000938e+01,4.206000000000000938e+01,4.206000000000000938e+01
4.734000000000001052e+01,4.734000000000001052e+01,4.734000000000001052e+01,4.734000000000001052e+01,4.734000000000001052e+01,4.734000000000001052e+01,4.734000000000001052e+01
5.294000000000000483e+01,5.294000000000000483e+01,5.294000000000000483e+01,5.294000000000000483e+01,5.294000000000000483e+01,5.294000000000000483e+01,5.294000000000000483e+01
