,x,y,z,qx,qy,qz,qw,time,name,id
18,1.8951160638746285,2.060658731281226,0.4433807086952727,0.0,0.0,-0.7177486515097544,0.6963022858327618,1584271066.2158914,object_2,18
19,1.8776719516755729,2.1381105077073586,0.3933869108389284,0.0,0.0,-0.7087267737959844,0.7054830686166292,1584271067.1878245,object_2,19
20,1.8688838108445194,2.0463703521316514,0.4476242746317922,0.0,0.0,-0.7111074055918274,0.7030833931422789,1584271068.0592194,object_2,20
21,1.8674349096188747,2.0416303937232185,0.45044870688370364,0.0,0.0,-0.7101155656267,0.704085139350826,1584271068.4284837,object_2,21
22,1.8666318340043675,2.0429808045937894,0.44812377102251766,0.0,0.0,-0.7099086938689403,0.7042937216597172,1584271068.663631,object_2,22
23,1.863063781840282,2.0423518063008217,0.45372866393583144,0.0,0.0,-0.7075263548398916,0.7066869584242912,1584271068.898243,object_2,23
24,1.8635144783219586,2.0405938624949447,0.45251136424118044,0.0,0.0,-0.7080408580603152,0.7061714687788033,1584271068.931759,object_2,24
25,1.8671300853785535,2.0343607722537786,0.4602563040133133,0.0,0.0,-0.709978925479881,0.7042229230679967,1584271069.0323038,object_2,25
26,1.8754156168842575,2.054698512008855,0.43660483049351806,0.0,0.0,-0.715062433949817,0.6990605950515045,1584271071.5120533,object_2,26
27,-2.029890538356244,0.17722422117137082,0.6495253076977816,0.0,0.0,0.15247052855084342,0.9883080177370952,1584271072.3823764,object_2,27
28,1.9173178164229252,2.056301189187523,0.46587556410975695,0.0,0.0,-0.736049420347629,0.6769278032448656,1584271072.4159954,object_2,28
29,4.953345722914003,1.077290992616219,1.4824125463998379,0.0,0.0,0.9985801063562405,0.05327073483217056,1584271072.650582,object_2,29
30,1.853766484038554,2.1010912154464894,0.4433721256970373,0.0,0.0,-0.6969792943612738,0.7170912516769821,1584271074.7618067,object_1,30
31,1.8747718225905454,2.136527650650858,0.4313054092514089,0.0,0.0,-0.7115087440602818,0.7026772424988307,1584271073.2543936,object_2,31
32,1.881486953181353,2.033602614876234,0.48884034555163086,0.0,0.0,-0.7131741530239367,0.7009868953543928,1584271075.0303845,object_1,32
33,1.8723324457976147,2.1130045530311956,0.467682573254838,0.0,0.0,-0.7104353763210212,0.70376244292489,1584271073.287568,object_2,33
34,1.8837300137340014,2.0280023533011033,0.4561632840310753,0.0,0.0,-0.7162690542742131,0.6978242199072231,1584271075.9349527,object_1,34
35,1.9013063916279538,2.0752631963934838,0.4574552735171342,0.0,0.0,-0.7253298382934072,0.6884015003479145,1584271073.8904705,object_2,35
36,1.8824628805100838,2.0256278705862356,0.4617443248029608,0.0,0.0,-0.7153188014687125,0.6987982629238317,1584271076.1695247,object_1,36
37,1.8641968662177022,2.111090106631777,0.43650195033246286,0.0,0.0,-0.7028735327919674,0.7113148366936677,1584271074.7282906,object_2,37
